호선,역명,장비종류,호기,승강기번호,운행구간,설치위치
1,검단호수공원역,EL,1,2282-553,대합실↔승강장,"(B1) 에스컬레이터 2호기/3호기 사이, (B2) 종착역 승강장 5-2 출입문 앞"
1,검단호수공원역,EL,2,2282-554,대합실↔승강장,"(B1) 에스컬레이터 5호기/6호기 사이, (B2) 신검단중앙역 방향 승강장 4-3 출입문 앞"
1,검단호수공원역,EL,3,2282-555,지상층↔대합실,"(1F) 1번 출입구 옆, (B1) 1번 출입구 방향"
1,9번환기구(1072),EL,검단본선4,2282-552,지상층↔지하2층,"(1F) 환기탑, (B1) 전기실, (B2) 선로피난층"
1,신검단중앙역,EL,1,2282-548,지하2층↔지하3층 ,"(B2) 에스컬레이터 1/2호기 사이, (B3) 검단호수공원역 방향 승강장 4-3 출입문 앞"
1,신검단중앙역,EL,2,2282-549,지하2층↔지하3층 ,"(B2) 에스컬레이터 5/6호기 사이, (B3) 아라역 방향 승강장 5-2 출입문 앞"
1,신검단중앙역,EL,3,2282-550,대합실↔외부,"(B2)2번 출입구/아기쉼터 사이 통로 끝, (1F)2번 출입구 뒤편 횡단보도 옆"
1,신검단중앙역,EL,4,2282-551,대합실↔외부,"(B2)4번 출입구 통로 끝, (1F)4번 출입구 뒤편 횡단보도 옆"
1,6번환기구(1082),EL,검단본선3,2282-580,지상층↔지하2층,"(1F) 공원 내 환기탑, (B1) 전기실, (B2) 선로피난층"
1,아라역,EL,1,2282-583,지하1층↔지하2층,"(B2) 신검단중앙역 방향 승강장 4-3 출입문 앞(건축창고, PSD기계실 사이)"
1,아라역,EL,2,2282-584,지하1층↔지하2층,"(B2) 계양역 방향 승강장 5-2 출입문 앞(알람밸브실, PSD기계실 사이)"
1,아라역,EL,3,2282-581,대합실↔외부,"(B1) 대합실 1,2번 출입구 방향, 1번출구 옆"
1,아라역,EL,4,2282-582,대합실↔외부,"(B1) 대합실 5,6번 출입구 방향, 5번출구 옆"
