호선,역명,휠체어리프트(대),엘리베이터(대),에스컬레이터(대),핸드레일(미터),전용개찰구(개소),출입구 엘리베이터 경사로(개소),장애인화장실(개소),장애인픽토그램(개),공중전화(대),점형블록(미터),선형블록(미터),핸드레일점자표지(개),화장실점자표지(개소),점자노선도(개),음성유도기(개)
03,북구청,0,2,4,189.44,4,2,2,2,0,142.2,46.5,24,2,2,11
03,달성공원,0,2,4,190.32,4,0,2,2,0,149.55,46.46,16,2,2,11
03,서문시장,0,2,8,193.2,4,1,2,2,0,144.3,42.6,21,2,2,11
03,청라언덕3,0,7,8,191.04,1,2,2,2,0,174.15,116.7,24,2,2,22
03,남 산,0,2,6,264,3,2,2,2,0,175.8,66.6,96,2,2,5
03,명 덕3,0,7,10,417.4,1,2,2,2,0,414.4,113,36,4,2,21
03,건들바위,0,4,4,367.4,1,2,2,2,0,141.6,82.2,24,4,2,13
03,대봉교,0,4,6,368.6,1,2,2,2,0,129,81,24,4,2,13
03,수성시장,0,4,4,377.8,1,1,2,2,0,136,75.2,22,4,2,13
03,수성구민운동장,0,3,6,303.8,1,1,2,2,0,126.1,55.1,16,4,2,8
03,어린이세상,0,3,6,217,2,1,2,2,0,151.2,57.3,16,2,2,8
03,황 금,0,3,6,216,2,1,2,2,0,150.9,56.7,16,2,2,8
03,수성못,0,3,6,218,2,1,2,2,0,150.6,60.3,16,2,2,8
03,지 산,0,3,4,210.9,4,1,2,2,0,146.1,28.8,16,2,2,9
03,범 물,0,4,6,398,4,2,2,2,0,158.4,51.3,24,2,2,13
03,용 지,0,4,6,453.4,4,2,2,2,0,168.6,74.7,24,2,2,13
