철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량
대전교통공사,1호선,대전,3,(1F) 3번 출입구 옆(B1) 대합실 3번 출입구 방향(B3) 역무실 근처 3번 출입구 방향,13,900
대전교통공사,1호선,대전,내부,(B3) 표낸는곳 내 대합실(B4) 대합실 (B5) 중앙로역 방향 승강장 1-1 출입문 앞,13,900
대전교통공사,1호선,중앙로,2,(1F) 2번 출입구 옆(B1) 대합실 화장실 옆(B3) 역무실 근처 2번 출입구 방향,15,1000
대전교통공사,1호선,중앙로,내부,(B3) 표내는곳 내 대합실(B5) 대전역 방향 승강장 1-3 출입문 앞,15,1000
대전교통공사,1호선,중앙로,내부,(B3) 표내는곳 내 대합실(B5) 중구청역 방향 승강장 6-2 출입문 앞,15,1000
대전교통공사,1호선,중구청,3,(1F) 3번 출입구 옆(B1) 대합실 3번 출입구 방향(B2) 역무실 근처 3번 출입구 방향,15,1000
대전교통공사,1호선,중구청,내부,(B2) 표낸는곳 내 대합실(B5) 대전역 방향 승강장 1-1 출입문 앞,15,1000
대전교통공사,1호선,서대전네거리,1,(1F) 1번 출입구 옆(B2) 대합실 화장실 옆,11,750
대전교통공사,1호선,서대전네거리,3,(1F) 3번 출입구 옆(B2) 대합실 3번/4번 출입구 방향,11,750
대전교통공사,1호선,서대전네거리,내부,(B2) 표내는곳 내 대합실(B4) 중구청역 방향 승강장 2-3 출입문 앞,11,750
대전교통공사,1호선,오룡,4,(1F) 3번 출입구 옆(B1) 대합실 3번/4번 출입구 방향,15,1000
대전교통공사,1호선,오룡,내부,(B1) 표내는곳 내 대합실(B2) 서대전네거리역 방향 승강장 5-4 출입문 앞,13,1000
대전교통공사,1호선,오룡,내부,(B1) 표내는곳 내 대합실(B2) 용문역 방향 승강장 1-3 출입문 앞,15,1000
대전교통공사,1호선,용문,7 8,(1F) 8번 출입구 옆(B1) 대합실 화장실 옆,11,750
대전교통공사,1호선,용문,내부,(B1) 표내는곳 내 대합실(B2) 오룡역 방향 승강장 6-4 출입문 앞,11,750
대전교통공사,1호선,용문,내부,(B1) 표내는곳 내 대합실(B2) 신흥역 방향 승강장 1-1 출입문 앞,11,750
대전교통공사,1호선,탄방,1 2,(1F) 1번/2번 출입구 옆(B1) 대합실 1번/2번 출입구 방향,11,750
대전교통공사,1호선,탄방,내부,(B1) 표내는곳 내 대합실(B2) 용문역 방향 승강장 2-2 출입문 앞,11,750
대전교통공사,1호선,탄방,내부,(B1) 표내는곳 내 대합실(B2) 시청역 방향 승강장 5-4 출입문 앞,11,750
대전교통공사,1호선,시청,2,(1F) 2번 출입구 옆(B1) 대합실 2번 출입구 방향,11,750
대전교통공사,1호선,시청,내부,(B1) 표내는곳 내 대합실(B2) 탄방역 방향 승강장 3-4 출입문 앞,11,750
대전교통공사,1호선,시청,내부,(B1) 표내는곳 내 대합실(B2) 정부청사역 방향 승강장 4-2 출입문 앞,11,750
대전교통공사,1호선,정부청사,1 2,(1F) 1번/2번 출입구 근처(B1) 대합실 1번/2번 출입구 방향,11,750
대전교통공사,1호선,정부청사,3 4,(1F) 3번/4번 출입구 근처(B1) 대합실 3번/4번 출입구 방향,10,750
대전교통공사,1호선,정부청사,내부,(B1) 표내는곳 내 대합실(B2) 시청역 방향 승강장 2-1 출입문 앞,11,750
대전교통공사,1호선,정부청사,내부,(B1) 표내는곳 내 대합실(B2) 갈마역 방향 승강장 5-4 출입문 앞,11,750
대전교통공사,1호선,갈마,1 2,(1F) 2번 출입구 옆(B1) 대합실 1번/2번 출입구 방향,15,1000
대전교통공사,1호선,갈마,3 4,(1F) 3번 출입구 옆(B1) 대합실 3번/4번 출입구 방향,15,1000
대전교통공사,1호선,갈마,3 4,(B1) 대합실(B2) 3번/4번 출입구 방향 연결통로,11,750
대전교통공사,1호선,갈마,내부,(B1) 표내는곳 내 대합실(B2) 정부청사역 방향 승강장 3-4 출입문 앞,11,750
