region,station_id,line_id,station_name_ko,line_name_ko,x,y,source_id,source_url,license_status
"대구권",station-10d8a9b4a5e6,line-5b8d9b05e7e6,"월촌","대구 1호선",1708,124,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-00ad3c74b588,line-5b8d9b05e7e6,"송현","대구 1호선",1851,124,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-c90f326f201f,line-5b8d9b05e7e6,"서부정류장(관문시장)","대구 1호선",1993,124,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-31318c023c13,line-5b8d9b05e7e6,"대명","대구 1호선",2136,124,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-6a6c88ce8896,line-5b8d9b05e7e6,"안지랑","대구 1호선",2279,124,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-389ff9d35066,line-5b8d9b05e7e6,"현충로","대구 1호선",2422,124,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-779e18fa58a2,line-5b8d9b05e7e6,"영대병원","대구 1호선",2565,124,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-0c3918ad57fe,line-5b8d9b05e7e6,"교대","대구 1호선",2707,124,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-a94cb65fc5ee,line-5b8d9b05e7e6,"명덕(2.28민주운동기념회관)","대구 1호선",2900,209,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-44dc03b65cae,line-5b8d9b05e7e6,"반월당","대구 1호선",2987,370,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-fef7ebca3c7e,line-5b8d9b05e7e6,"중앙로","대구 1호선",3045,559,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-d5764b48d283,line-5b8d9b05e7e6,"대구역","대구 1호선",3215,647,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-7f05ab5676f1,line-5b8d9b05e7e6,"칠성시장","대구 1호선",3323,663,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-9f9a40c1ed7b,line-5b8d9b05e7e6,"신천(경북대입구)","대구 1호선",3431,663,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-5b51eac5a29c,line-5b8d9b05e7e6,"동대구역","대구 1호선",3540,647,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
"대구권",station-dc146f1e6d4c,line-5b8d9b05e7e6,"동구청(큰고개)","대구 1호선",3648,663,qa-official-svg-coordinate,https://www.dtro.or.kr/front/dtro/cyberstation/station/cyberstation.do,review-required
